,sentences,0
40,i was happy with my purchase of a toshiba satellite l#ds# laptop until it came time to have it repaired under the toshiba warranty,1
41,amazing quality,0
42,the fact that you can spend over # on just a webcam underscores the value of this machine,0
43,i mainly use it for email internet and managing personal files pics vids etc,2
44,a month or so ago the freaking motherboard just died,1
45,the system it comes with does not work properly so when trying to fix the problems with it it started not working at all,1
46,then after # or so months the charger stopped working so i was forced to go out and buy new hardware just to keep this computer running,1
47,if a website ever freezes which is rare its really easy to force quit,0
48,it rarely works and when it does its incredibly slow,1
49,i also enjoy the fact that my macbook pro laptop allows me to run windows # on it by using the vmware program,0
50,its so much easier to navigate through the operating system to find files and it runs a lot faster,0
51,purchased a toshiba lap top it worked good until just after the warrenty went out,1
52,i wanted to purchase the extended warranty and they refused because they knew it was trouble,2
53,we upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed,0
54,the reality was it heated up very quickly and took way too long to do simple things like opening my documents folder,1
55,i had always used pcs and been constantly frustrated by the crashing and the poorly designed operating systems that were never very intuitive,1
56,then within # months the charger crapped out on me,1
57,and if you have a iphone or ipod touch you can connect and download songs to it at high speed,0
58,i love the glass touchpad,0
59,  i continued to take the computer in again and they replaced the hard drive and mother board yet again,1
60,i am using the external speaker sound is good,0
61,still testing the battery life as i thought it would be better but am very happy with the upgrade,1
62,then hp sends it back to me with the hardware screwed up not able to connect,1
63,oh yeah dont forget the expensive shipping to and from hp,1
64,everything is so easy to use mac software is just so much simpler than microsoft software,0
65,and if you do a lot of writing editing is a problem since there is no  forward delete  key,1
66,its ease of use and the top service from apple be it their phone assistance or bellying up to the genius bar cannot be beat,0
67,it has a # hour battery life when youre doing web browsing and word editing making it perfect for the classroom or office and in terms of gaming and movie playing itll have a battery life of just over # hours,0
68,acer has set me up with free recovery discs when they are available since i asked,0
69,i also purchased office maxs max assurance with the no lemon clause,2
70,i eventually did the migration from my imac backup disc which uses usb,2
71,the battery life seems to be very good and have had no issues with it,0
72,enabling the battery timer is useless,1
73,temperatures on the outside were alright but i did not track in core processing unit temperatures,2
74,going to bring it to service today,2
75,there is no need to purchase virus protection for mac which saves me a lot of time and money,0
76,but we had paid for bluetooth and there was none,1
77,so i paid a visit to lg notebook service center at alexandra road hoping they can make the hinge tighter,1
78,my daughter uses it for games email facebook pictures and music,2
79,it is always reliable never bugged and responds well,0
80,after about a week i finally got it back and was told that the motherboard had failed and so they installed a new motherboard,1
81,it was slow locked up and also had hardware replaced after only # months,1
82,they had to replace the motherboard in april,1
83,yes the computer was light weight less expensive than the average laptop and was pretty self explantory in use,0
84,also if you need to talk to a representive at microsoft there is a charge which i believe is robbery since you are charged enormous amounts for a very badly designed system which most people would have went with xp if they could,1
85,i love windows # which is a vast improvment over vista,2
86,keyboard is great very quiet for all the typing that i do,0
87,dells customer disservice is an insult to its customers who pay good money for shoddy products,1
88,it had a cooling system malfunction after # minutes of general use and would not move past this error,1
89,i can render avchd movies with little effort which was a problem for most pcs unless you had a quad core i#,0
90,after talking it over with the very knowledgeable sales associate i chose the macbook pro over the white macbook,0
91,if you really want a bangup system and dont need to run windows applications go with an apple,0
92,you wont have to spend gobs of money on some inefficient virus program that needs to be updated every month and that constantly drains your wallet,1
93,it weighed like seven pounds or something like that,2
94,# months later the battery went,1
95,you may need to special order a bag,2
96,its color is even cool,0
97,keys are all in weird places and is way too large for the way it is designed,1
98,yes a mac is much more money than the average laptop out there but there is no comparison in style speed and just cool factor,0
99,the keyboard feels good and i type just fine on it,0
100,i thought the white mac computers looked dirty too quicly where you use the mousepad and where you place your hands when typing,2
101,and not to mention after using it for a few months or so the battery will slowly less and less hold a charge until you cant leave it unplugged for more than # minutes without the thing dying,1
102,best buy  # stars    sales service respect for old men who arent familiar with the technology dell computers  # stars dell support  owes a me a couple,0
103,no complaints with their desktop and maybe because it just sits on your desktop and you dont carry it around which could jar the hard drive or the motherboard,2
104,yes they cost more but they more than make up for it in speed construction quality and longevity,0
105,since i keyboard over # wpm i look for a unit that has a comfortble keyboard no keys sticking or lagging strange configuration of extra key etc,0
106, i also tried the touch pad and compared it to other netbooks in the store,2
107,it absolutely is more expensive than most pc laptops but the ease of use security and minimal problems that have arisen make it well worth the pricetag,0
108,  it gets stuck all of the time you use it and you have to keep tapping on it to get it to work,1
109,lots of preloaded software,0
110,i wish it had a webcam though then it would be perfect,1
111,my favorite part of this computer is that it has a vga port so i can connect it to a bigger screen,0
112,another thing i might add is the battery life is excellent,0
113,one drawback i wish the keys were backlit,1
114,acer was no help and garmin could not determine the problemafter spending about # hours with me so i returned it and purchased a toshiba r# that seems even nicer and i was able to load all of my software with no problem,0
115,i wish the volume could be louder and the mouse didnt break after only a month,1
116,i play a lot of casual games online and the touchpad is very responsive,0
117,granted its still a very new laptop but in comparison to my previous laptops and desktops my mac boots up noticeably quicker,0
118,it caught a virus that completely wiped out my hard drive in a matter of hours,1
119,it is everything id hoped it would be from a look and feel standpoint but somehow a bit more sturdy,0
120,the only fact i dont like about apples is they generally use safari and i dont use safari but after i install mozzilla firfox i love every single bit about it,1
121,the bluetooth was not there at all and the fingerprint reader driver would be there but the software would hang after installation was # way done,1
122,great battery speed display,0
123,the delivery was fast and i would not hesitate to purchase this laptop again,0
124,ive been impressed with the battery life and the performance for such a small amount of memory,0
125,its applications are terrific including the replacements for microsoft office,0
126,they improved nothing else such as resolution appearance cooling system graphics card etc,1
127,i got it back and my builtin webcam and builtin mic were shorting out anytime i touched the lid mind you this was my means of communication with my fiance who was deployed but i suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out,1
128,is this partially due to the fact that it is running windows vista,2
129,  the board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues,1
130,my dad has one of the very first toshibas ever made yes its abit slow now but still works well and i hooked to my ethernet,0
131,mostly i love the drag and drop feature,0
132,oh yeah and if the fancy webcam breaks guess who you have to send it to to get it fixed,1
133,i ordered through macmall which saved me the sales tax i would have incurred buying locally,0
134,of course i also have several great software packages that came for free including iwork garageband and imovie,0
135,the screen is very large and crystal clear with amazing colors and resolution,0
136,after a little more than a year of owning my macbook pro the monitor has completely died,1
137,the brand of itunes has just become ingrained in our lexicon now but keep in mind that apple started it all,0
138,size i know # is small especially for a desktop replacement but with an external monitor who cares,1
139,additional caveat the base installation comes with some toshibaspecific software that may or may not be to a users liking,1
140,  taking it back to best buy i found that a tiny plastic piece inside had broken manuf issue,1
141,it has no camera but i can always buy and install one easy,2
142,the display is incredibly bright much brighter than my powerbook and very crisp,0
143,the amd turin processor seems to always perform so much better than intel,2
144,  after that the said it was under warranty,2
145,the start menu is not the easiest thing to navigate due to the stacking,1
146,only thing i would want to add to this is an internal bluray readwrite drive,1
147,the service tech said he had tried to duplicate the damage and wasnt able to recreate it therefore it had to be their defect,1
148,the tech store i purchased this from sent it backeventually i got a new or repaired machine approximately # weeks later,1
149,really like the textured surface which shows no fingerprints,0
150,the screen is bright and the keyboard is nice,0
151,but the machine is awesome and ilife is great and i love snow leopard x,0
152,high price tag however,1
153,i thought learning the mac os would be hard but it is easily picked up if you are familiar with a pc,0
154,i had static in the output and i had to reduce the sound output quality to fm as opposed to the default cd,1
155,i custom ordered the machine from hp and could not understand the techie due to his accent,1
156,it is easy to use and lightweight,0
157,i went to toshiba online help and found some suggestions to fix it,0
158,they also have a longer service life than other computers i have several friends who still use the older apple powerbooks,0
159,if you check you will find the same notebook with the above missing ports and a dual core amd or intel processor,2
160,this laptop is a great price and has a sleek look,0
161,i especially like the keyboard which has chiclet type keys,0
162,small screen somewhat limiting but great for travel,2
163,runs hot  i thought we were paying for quality in our decision to buy an apple product,1
164,for the not so good i got the stock screen  which is very glossy,1
165,the gray color was a good choice,0
166,i would like to have volume buttons rather than the adjustment that is on the front,1
167,the processor a amd semprom at # ghz is a bummer it does not have the power for hd or heavy computing,1
168,i bought a protector for my key pad and it works great ,0
169,the magnetic plugin power charging power cord is great i even put it to the test by accident excellent innovation,0
170,it seems they could have updated xp and done without creating vista,2
171,  it is easy to use fast and has great graphics for the money,0
172,i like how the mac os is so simple and easy to use,0
173,while apples saving grace is the fact that they at least stand behind their products and their support is great it would be nice if their products were more reliable to justify the premium,0
174,i was ready to take it back for a refund but the geek squad camed through and pointed me in the right direction to get it fixed,0
175,only good thing is the graphics quality,0
176,the other lockup problems are from a myriad of causes the most common being a corrupted version of appleworks which can render the browser useless,1
177,the paint wears off easily due to the keyboard being farther back than usual,1
178,i had purchased it from a major electronics store and took it to their service department to find out what the problem was,2
179,the store honored their warrenty and made the comment that they dont even recommend the hp brand because of the problems with their warrentys,2
180,i always use a backup hard disk to store important files at all times,2
181,they sent out the box right away for me to send in my computer they paid postage and whatnot but when i got my computer back it still wasnt running right and now my cd drive wasnt reading anything,1
182,but the screen size is not that bad for email and web browsing,0
183,once i removed all the software the laptop loads in # seconds,1
184,on my powerbook g# i would never use the trackpad i would use an external mouse because i didnt like the trackpad,1
185,this computer doesnt do that well with certain games it cant play some and it becomes too hot while playing games,1
186,obviously one of the most important features of any computer is the human interface,2
187,yeah of course smarty pants fix it nowsoftware  compared to the early # edition i did see inbuilt applications crashing and it prompted me to send the report to apple which i promptly did,1
188,the body is a bit cheaply made so it will be interesting to see how long it holds up,1
189,the i# blows my desktop out of the water when it comes to rendering videos,1
190,with a mac you dont have to worry about antivirus software or firewall its so wonderful,2
191,am very glad i bought it great netbook low price,0
192,the apple team also assists you very nicely when choosing which computer is right for you ,0
193,i think part of the problem with this computer is vista yet i know vista isnt the entire issue because my latest purchase was my acer and it also has vista i should have waited the few months to get the next operating system,1
194,the video chat is the only thing that is iffy about it but im sure once they unpdate the next version on the macbook book the quality of it will be better,1
195,that whole experience was just ridiculous we sent it in and after they told us that we had to pay # to fix it we were like we will just by a portable mouse which would be way cheaper but they refused to send the laptop back until we paid the # and it was fixed,0
196,fan vents to the side so no cooling pad needed great feature,0
197,i use my mac all the time i love the software the way it takes a short time to load things how easy it is to use and most of all how you dont have to worry about viruses,0
198,wasted me at least # hours of installation time,1
199,it has far exceeded my expectations for power storage and abilitiy,0
200,a great feature is the spotlight search one can search for documents by simply typing a keyword rather than parsing tens of file folders for a document,0
201,my wireless system would not recognize windows # and i couldnt get online to find out why,1
202,i am enjoying it and the quality it provides is great,0
203,suffice it to say my macbook pro keeps me going with its long battery life and blazing speed,0
204,the os is also very user friendly even for those that switch from a pc with a little practice you can take full advantage of this os,0
205,itunes is a handy musicmanagement program and it is essential for anyone with an ipod,0
206,mac is not made for gaming,1
207,well i spilled something on it and they replaced it with this model which gets hot and the battery doesnt make it through # dvd,1
208,ive had to call apple support to set up my new printer and have had wonderful experiences with helpful english speaking from vancouver techs that walked me through the processes to help me,0
209,but sony said we could send it back and be charged for adding the bluetooth an additional seventy something dollars,1
210,i need graphic power to run my adobe creative apps efficiently,2
211,the programs are esay to use and are quick to process this computer works like a charm,0
212,the materials that came with the computer did not include the right  anywhere,1
213,it does not even have the software to play a dvd now,1
214,tech support tells me the latter problem is a power supply problem and have offered to fix it if it happens again,2
215,how does the power supply not work,1
216,sells for the same as a netbook without sacrificing size,0
217,  upon giving them the serial number the first thing i was told was that it was out of warranty and i could pay to have it repaired,2
218,windows xp sp# caused many problems on the computer so i had to remove it,1
219,i reloaded with windows # ultimate and the bluetooth and fingerprint reader software would not load,1
220,none of the techs at hp knew what they were doing,1
221,this is my second one and the same problem bad video card  unreliable overall this will be my second time returning this laptop back to best buy,1
222,with awesome graphics and assuring security its perfect,0
223,laptop was in new condition and operational but for the audio problem when #st sent for repair,1
224,i was disappointed when i realized that the keyboard doesnt light up on this model,1
225,it runs perfectly,0
226,the laptop was very easy to set up,0
227,  sometimes the screen even goes black on this computer,1
228,i recommend for word processing and internet users,0
229,since ive had this computer ive only used the trackpad because it is so nice and smooth,0
230,a longer battery life would have been great  but it meets its spec quite easily,0
231,who couldnt love a dvd burner #gigabyte hd and fairly new graphics chip as i soon discovered though there is a reason for which similarlyconfigured sony and toshiba machines cost more they use higherquality components that are faster betterconfigured and end up lasting a lot longer,0
232,its fast and another thing i like is that it has three usb ports,0
233,the salesman talked us into this computer away from another we were looking at and we have had nothing but problems with software problems and just not happy with it,1
234,that system is fixed,2
235,the computer itself was fast ran smoothly and had no problems,0
236,like the price and operation,0
237,the brand is tarnished in my heart,1
238,this is likely due to poor grounding and isolation between the components and im hoping that it can be fixed with a ground loop isolator but i still expected better product quality for this price range,1
239,i have had it for about a # # and yes i have had an issue with it one month out of warranty,2
240,once open the leading edge is razor sharp,1
241,loaded with bloatware,2
242,maximum sound isnt nearly as loud as it should be,1
243,i loaded windows # via bootcamp and it works flawlessly,0
244,great laptop for the price works well with action pack games,0
245,although the price is higher then dell laptops the macbooks are worth the dough,1
246,i would not recommend this to anyone wanting a notebook expecting the performance of a desktop it does not meet the expectations,1
247,the macbook arrived in a nice twin packing and sealed in the box all the functions works great,0
248,so what if the laptopsmobile phones look chic and cool the after sales support is terrible,2
249,i hate the display screen and i have done everything i could do the change it,1
250,i also like the acer arcade but these were reallythe only two things i liked about this laptop,0
251,have not yet needed any customer support with this yet so to me that is a great thing which is leaps and bounds ahead of pc in my opinion,0
252,i gave it to my daughter because i just hated the screen hated that it had no cd drive to at least play cds when i wanted to listen to music and do schoolwork,1
253,it runs very quiet too which is a plus,0
254,but it  has a major design flaw,1
255,it was heavybulky and hard to carry because of the size,1
256,the games included are very good games,0
257,this computer will last you at least # years thats an amazing life spanned an electronic,0
258,i had something else go wrong and they said it had to be in good working order to be able to buy the warranty,1
259,sometimes you really have to tap the pad to get it to worki,1
260,its super fast and a great value for the price,0
261,three the mac book has advantages over pcs with linux based os there is very few problems with system performance when it comes to a mac,1
262,a mac is very easy to use and it simply makes sense,0
263,however i may have inadvertently thrown out one of the batteries with the shipping carton,2
264,it is so much easier to use,0
265,there is no need to open a program first and the cliick open or import,0
266,it is so nice not to worry about that and the extra expense that comes along with the necessary virus protection on pcs,0
267,three weeks after i bought the netbook the screen quit working,1
268,the processor screams and because of the unique way that apple osx # functions most of the graphics are routed through the hardware rather than the software,0
269,i wanted something that had a new intel core processors and hdmi port so that we could hook it up directly to our tv,2
270,the apple will run internet explorer but at an amazingly slow rate,2
271,with todays company fighting over marketshare its a shame that asus can get away with the inept staff answering thephone,1
272,the price premium is a little much but when you start looking at the features it is worth the added cash,2
273,i cant say enough of how satisfied i am with their product and help aftermarket,0
274,microsoft word was not on it andi had to buy it seperately,1
275,it has # usb ports # sd memory card reader and an sd memory car expansion,2
276,i connect a lacie #big external drive via the firewire # interface which is useful for time machine,0
277,my toshiba did not have sound on everything just certain things,1
278,i am overall very pleased with my toshiba satellite i like the extra features i love the windows # home premium,0
279,the aspire wont even boot past the acer screen with a droid i have tried both motorola and htc plugged into the usb port,1
280,the battery life was shorter than expected,1
281,it fires up in the morning in less than # seconds and i have never had any issues with it freezing,0
282,the keyboard is top notch,0
283,it drives me crazy when i want to download a game or something of that nature and i cant play it because its not compatable with the software,1
284,the online tutorial videos make it super easy to learn if you have always used a pc,0
285,the image is great and the soud is excelent,0
286,with a mac computer i have more free time as i dont have to wait for windows to boot up or shut down and all the viruses associated with windows,1
287,it was very easy to just pick up and use it did not take long to get used to the mac os,0
288,it is well worth the money it cost very good investment,0
289,upgrading from windows # starter thru windows # home premium to windows # professional was a snap,2
290,this computer had exactly the specifications i needed,0
291,my kids and dogs destroyed two power cords by pulling on them,2
292,i had upgraded my old macbook to lion so i kind of knew what i was getting but hadnt been able to enjoy some of the awesome new multitouch features,0
293,the screen is a little glary and i hated the clicking buttons but i got used to them,1
294,not to mention the battery life is absolutely amazing,0
295,windows also shuts the computer down for no reason without warning,1
296,not using wired lan not sure what thats about,2
297,the macbook rarely requires a hard reboot,2
298,now for the hardware problems,1
299,anyways i bought this two months ago and when i first brought it home it kept giving me a message about a vibration in the hard drive and it is putting it temporaly in save zone,1
300,its fast and has excellent battery life,0
301,apple care included,2
302,features like the font are very blocklike and old school,1
303,it is loaded with programs that is of no good for the average user that makes it run way to slow,1
304,i feel that it was poorly put together because once in a while different plastic pieces would come off of it,1
305,finally i should note that i took the #gb ram stick from my old eeepc and installed it before i even powered on for the first time,2
306,windows is also rather unsteady on its feet and is susceptible to many bugs,1
307,after sending out documents via email and having recipients tell me they could not open the documents or they came through as gibberish i broke down and spent another # to get microsoft word for mac,2
308,do not buy gateway computers they are junk and the warranty company is horrible,1
309,then on top of it all their cusromer service center is in the middle east,1
310,the only bad part is the sizeweight,1
311,the little battery that it did have would only last about an hour while just having it on the desktop,1
312,i liked the aluminum body,0
313,its good for playing my apps on facebook or watching movies,0
314,from the build quality to the performance everything about it has been subpar from what i would have expected from apple,1
315,i love the dock where i can simply drop a file ontop of a particular program and the program will simply open that file,0
316,pretty much everything else about the computer is good it just stops working out of no were,1
317,it was truly a great computer costing less than one thousand bucks before tax,0
318,waiting for the i# was well worth it great value for the price,0
319,nowmy monitor has been acting up for about # months,1
320,also the extended warranty was a problem,1
321,boots up fast and runs great,0
322,lightweight and the screen is beautiful,0
323,i needed a driver for my hp and they would not help me with out me paying over # for it,2
324,call tech support standard email the form and fax it back in to us,2
325,they sent it back with a huge crack in it and it still didnt work,1
326, a coupla months later they change my hard drive,1
327,the macbook arrived in a nice twin packing and sealed in the box all the functions works great,0
328,they say sorry out of warranty,1
329,i bought this laptop because of the performance to price ratio,0
330,pc never worked right even after bios fixed,1
331,after having two pc laptops die with in the past # years i was led to the apple display at best buy by the sleek design and promise of less tech issues,0
332,the size is perfect and i do not recomend anything bigger except for any person who can exceed the limited space it gives you,2
333,the service i received from toshiba went above and beyond the call of duty,0
334,have had many higher priced computers crash and burn long before ever got to use all that great memory and speed etc,1
335,i would recommend it just because of the internet speed probably because thats the only thing i really care about,0
336,there are several programs for school or office use pages numbers keynote etc music garageband photo management photo booth iphoto videoediting or moviemaking imovie etc,2
337,the screen shows great colors,0
338,reason why its because when you buy it you know first thing that you will not lose any value for that laptop the price will stay the same for the next year and even if apple does decides to change mode your laptop value will only drop # unlike pc laptops which drop more than #,0
339,i have no idea how to burn cds or to use the web cam just for starters,2
340,the # inch screen is very large but the computer is very light,1
341,  my opinion of sony has been dropping as fast as the stock market given their horrible support but this machine just caused another plunge,1
342,for the bluetooth to work properly you must install the launch manager on the driversapplications dvd or it will not show after the reload,2
343,i also liked the glass screen,0
344,the switchable graphic card is pretty sweet when you want gaming on the laptop,0
345,its not a wearandtear issue not due to user carelessness and most importantly they cant guarantee the problem will be solved if it is sent for service and i have to accept the outcome,1
346,the battery life has not decreased since i bought it so im thrilled with that,0
347,when i called toshiba they would not do anything and even tried to charge me # for the phone call even though they didnt offer any technical support,1
348,i bought this notebook and only had it for # months if it is overload with updates the boot mgr,2
349,oh and if thats not bad enough it doesnt come with a recovery cd so you can make one if you know how to or buy one if you buy it the cost is # for two cds,1
350,the price and features more than met my needs,0
351,skype is just so dang cool with this machine too,0
352,the mouse buttons are hard to push,1
353,also hdd secures inside using rails and there is only one set on the main hard drive,0
354,all i will say now is that it was over two grand less expensive and so much better quality than my hunk of crap vaio,0
355,beware their staff could send you back making you feel that only they know what a computer is,1
356,games being the main issue,1
357,my sister has the same mac as me and she is in a band and uses garageband to record and edit,2
358,they say that this will invalidate the warranty on the hard drive i dont really understand why but anyway,1
359,and looks very sexyyd  really the mac book pro is the best laptop specially for students in college if you are not caring about price,1
360,a great computer for light home use and business use,0
361,even with virus protection it always turned off when updates were needed and installed,1
362,also consider the ms office apps are all trial versions hope you have your own copies,1
363,even so i like playing online games so it was wonderful that there is a feature where i can dualboot windows,0
364,the battery life is amazingly long at #hrs and #hrs if you use it,0
365,lightweight long battery life excellent transition from pc,0
366,the price is another driving influence that made me purchase this laptop,0
367,the nortons virus scan is only for a very short time unlike others that usually are good for a year,1
368,it is stamped and not in pieces therefore it is a stronger more resilient frame,0
369,i am first time mac buyer and am amazed at features and ease of use the mac offers,0
370,came fully loaded  good,0
371,i noticed windows has a new system called windows # what about us vista users  they should get all the bugs out of vista before investing in a new system,1
372,when we bought our new hp comouter in dec of # we wanted windows xp but were told it would cost an extra # so we went with vista,2
373,the only thing that i have is the key broad is a little dark to see the letters would help if it was a little lighter then it is,1
374,im still within the one year warranty but the repair depot  has deemed that this time it was caused by physical abuse and is not  covered,1
375,  but i needed a laptop for school use,2
376,this is the complete opposite to an ergonomic design,1
377,i would like at least a # hr battery life,2
378,the only thing that i dont like about my mac is that sometimes there are programs that i want to be able to run and i am not able to,1
379,wireless has not been a issue for me like some others have meantioned,0
380,macbook notebooks quickly die out because of their short battery life as well as the many background programs that run without the users knowlede,1
381,all the things you can do with the trackpad make navigating around the computer and its programs so much simpler quicker and easier,0
382,i guess the only good thing that came out of these were the speakers and the subwoofer,0
383,theres a built in camera with special effects for video and photography,0
384,all for such a great price,0
385,  long story short since i experience so many problems with my laptop every since i bought it from day one i didnt ask for a new laptop or a refund of what i pay for a crapy laptop but just an extension of my laptop warranty for another year they made a big deal of out that and after so many calls and complaints about their products and services they finally gave in,2
386,another thing is that after only a month the left mouse key broke and it costed # to send it in to fix it,1
387,it has good speed and plenty of hard drive space,0
388,clear picture on it and everything,0
389,they said that my computer was covered on an extended warranty and that products with  extended warranties are taken care of through third parties and not sony itself anymore,2
390,very longlife battery up to # hours depending on how you configure power level settings,0
391,screen is awesome battery life is good,0
392,the black model also has a very nice seamless appearance  one of the better looking notebooks ive seen,0
393,the technical service for dell is so #rd world it might as well not even bother,1
394,the graphics were awful and the warranty isnt even worth the cheap payment on the computer,1
395,they gave me a hard time yet again but their was a malfunction in the battery itself it didnt die,1
396,if you dont feel comfortable doing it yourself just buy the case and be happy plus it looks nice i bought the white one from best buy,0
397,you can find many laptops with the same performance and even better with lower price but you cannot find the look easy applications and the experience in mac,0
398,excellent speed for processing data,0
399,when you call tech support you were routed to someone who was in another country and did not know what they were doing,1
400,it has come into good use for my finances scheduling my parents business expenses and it is definitely amazing for gaming,0
401,i was taught to use photoshop and was amazed,0
402,somehow the system clock got messed up after reboot,1
403,the only problem is that i had to add # gb ram the computer was kinda slow,1
404,with the macbook pro it comes with freesecuritysoftware to protect it from viruses and other intrusive things from downloads and internet surfing or emails,0
405,the driver updates dont fix the issue very frustrating,1
406,i will never go back to windows,1
407,it doesnt work worth a damn,1
408,it works really well,0
409,bigger hd better graphics card and a bid hd,0
410,the built in camera is very useful when chatting with other techs in remote buildings on our campus,0
411,mine came at # wo a dvd burner ,1
412,the dvd burner broke after burning # dvdd during that time,1
413,it works fine with our wireless and theyve had not problems,0
414,but you must get the # inch,0
415,product support very poor as each phone call costs me long distan,1
416,overall the computer is very easy to use the screen is perfect great computer my daughter loves,0
417,  the casing of the power cord fried and shocked my husband when he pulled it out of the socket,1
418,it does not keep internet signals no matter where you bring it,1
419,its a great product for a great price,0
420,again the same problem the right speaker did not work,1
421,but see the macbook pro is different because it may have a huge price tag but it comes with the full software that you would actually need and most of it has free future updates,0
422,and the multiple page viewer  allows you to press one button to see every separate page currently opened at the same time in one screen are great for those who are working non stop or just shopping online,0
423,this was the #rd day and part still had not been shipped,1
424,keyboard good sized and wasy to use,0
425,hp said it was out of warranty,2
426,i never had this kind of quality issue with dell not to say dell is that great not with a brand new laptop,1
427,wonderful features,0
428,i had to call hp and ask for a recovery disk because the computer does not come with one and completely redo it all,1
429,im glad that it has such great features in it,0
430,i like those programs better than office and you can save your files to be completely compatible with the office programs as well,2
431,great wifi too,0
432,when typing letters and spaces are frequently omitted requiring the user to redo many words and sentences,1
433,  only a few days after i received the computer back the screen froze again,1
434,it is not ideal for children because of the temp,1
435,although i do believe that windows operating system may be to fault for some of the problems,1
436,great os fabulous improvements to the existing line bumping up the processor speed and adding the thunderbolt port,0
437,  the lcd screen stopped working on mine after # months,1
438,images are crisp and clean,0
439,although its windows vista compared to windows xp sucks,2
440,  we have had numerous problems with vista such as adobe flash player just quits and has to be uninstalled and then reinsalled internet explore just quits and you lose whatever you were working on also the same windows update has appeared on this computer since we got it and has been updated probably # times the same update,1
441,with the switch being at the top you need to memorize the key combination rather than just flicking a switch,1
442,one more tip please purchase this model and get a #gb stick of ram to save you #,0
443,it has bein into the shop to get a new hardrive # times and to fix the touch control buttons on the keyboard,1
444,i always have used a tower home pc and jumped to the laptop and have been very satisfied with its performance,0
445,the computer runs very fast with no problems and the ilife software that comes with it iphoto imovie iweb itunes garageband is all very helpful as well,0
446,at first it worked well for a month or so then the system board failed and i send it in to toshiba some complaints and three weeks later i then receive my laptop back only to discover that it still has the same problem so now i have to send it back again to get it fixed again,1
447,  until i bought the dell i thought you just looked for what you wanted size software options hardware and purchase the best deal you could find,2
448,it has plenty of memory lots of hard drive and great graphics,0
449,it didnt take me long to get switched over to the mac computer programs and navigation  its been just fine and like the way this laptop functions much better,0
450,however my girlfriend realized that the netbooks hinge is a bit loose when you open or close the lcd,1
451,my problem was with dell customer service,1
452,neweggs rma service was great as always i contacted them late friday night and they issued me an rma number and a prepaid ups shipping label the very next morning on saturday,0
453,design very durable,0
454,it is easy to go from one keyboard to another,2
455,has a # hour battery life,2
456,my only issues are # the screenvideo resolution wont increase to a higher resolution then # x #,1
457,i run dreamweaver final cut pro # photoshop safari firefox msn messenger and a few other applications constantly at the same time,2
458,  i was told by many  that it was a great computer but we got one of these and it worked  great for one year and as soon as the warrenty was up then it got  really bad,1
459,ive had to call tech support many times,2
